date,top10,top10_pctile_3y,top10_pctile_10y
20220727,0.523714,0.160494,0.573251
20220728,0.513583,0.076818,0.512346
20220729,0.510345,0.058985,0.494239
20220801,0.522281,0.152263,0.565844
20220802,0.484553,0.004115,0.364198
20220803,0.51243,0.071331,0.506173
20220804,0.518069,0.115226,0.539918
20220805,0.522002,0.153635,0.564198
20220808,0.52117,0.145405,0.559671
20220809,0.523094,0.164609,0.569959
20220810,0.526291,0.200274,0.593004
20220811,0.507685,0.048011,0.477778
20220812,0.494134,0.010974,0.406584
20220815,0.521785,0.156379,0.56214
20220816,0.513111,0.080933,0.509053
20220817,0.519509,0.131687,0.546091
20220818,0.503873,0.037037,0.460494
20220819,0.507773,0.053498,0.479835
20220822,0.521645,0.15775,0.560905
20220823,0.518184,0.123457,0.53786
20220824,0.494076,0.010974,0.404938
20220825,0.508386,0.061728,0.482716
20220826,0.516172,0.111111,0.526749
20220829,0.502651,0.037037,0.45144
20220830,0.50498,0.045267,0.463786
20220831,0.522119,0.176955,0.565021
20220901,0.508699,0.065844,0.483539
20220902,0.497593,0.026063,0.422222
20220905,0.506869,0.053498,0.472428
20220906,0.524065,0.20439,0.577778
20220907,0.514725,0.102881,0.516049
20220908,0.50299,0.039781,0.451029
20220909,0.531646,0.272977,0.625926
20220913,0.518279,0.139918,0.537449
20220914,0.505872,0.05487,0.469136
20220915,0.510389,0.080933,0.492181
20220916,0.514206,0.104252,0.511934
20220919,0.50538,0.048011,0.461728
20220920,0.53418,0.30727,0.644033
20220921,0.522303,0.185185,0.565021
20220922,0.535339,0.333333,0.653909
20220923,0.508905,0.071331,0.481893
20220926,0.525416,0.215364,0.588066
20220927,0.52693,0.229081,0.596296
20220928,0.515033,0.112483,0.516872
20220929,0.519294,0.150892,0.541564
20220930,0.532785,0.278464,0.631276
20221010,0.544987,0.466392,0.72963
20221011,0.551709,0.529492,0.771193
20221012,0.546371,0.491084,0.742387
20221013,0.528088,0.245542,0.606584
20221014,0.539418,0.390947,0.686008
20221017,0.518331,0.144033,0.535391
20221018,0.506023,0.05487,0.466255
20221019,0.522602,0.1893,0.564609
20221020,0.514603,0.109739,0.511523
20221021,0.512796,0.096022,0.499177
20221024,0.519428,0.153635,0.540329
20221025,0.513013,0.100137,0.501235
20221026,0.507242,0.057613,0.466255
20221027,0.521436,0.176955,0.555556
